ma_2,ma_4,ma_8,ma_16,ma_32,ma_64,ma_128,rsi_2,rsi_4,rsi_8,rsi_16,rsi_32,rsi_64,rsi_128,std_2,std_4,std_8,std_16,std_32,std_64,std_128,Open_ret
0,0.1552013423,0.3118210863,0.3119007332,0.2471437162,0.1868073879,0.2905337362,1,1,1,1,1,1,1,0,0.8582697899,0.8738920149,0.7766967364,0.6695772628,0.626968977,0.6301731445,0
0.3186695279,0.3157158837,0.3982108626,0.3532618913,0.2577552969,0.1934916447,0.2950267255,1,1,1,1,1,1,1,0.5881188119,0.6949506826,0.789705263,0.7324662299,0.6470026062,0.6154570757,0.6239221743,3.00E-05
0.6319742489,0.3833892617,0.4575079872,0.3926677947,0.2714638872,0.2196492317,0.3120784888,0.9670603893,0.9765967686,0.978055319,0.9771202333,0.9747029102,0.9714773856,0.9692236612,0.009900990099,0.5908816943,0.7261838299,0.6971157628,0.6267588418,0.6070641048,0.6188820312,-2.00E-05
0.6105150215,0.6359060403,0.4918302145,0.4306516946,0.2746146786,0.3002789295,0.3343929897,0.8071192821,0.8924301523,0.9087238556,0.909039675,0.9015701543,0.8901790648,0.8821146723,0.0297029703,0.0429113002,0.6708673588,0.6685289125,0.6076608043,0.6231991272,0.6148291188,-0.00017
0.6201716738,0.6409395973,0.517571885,0.4374882497,0.2832230908,0.2760480797,0.3475208815,0.8733681154,0.9082338143,0.9178545166,0.9166414122,0.9091116855,0.8982416564,0.8905880545,0.04752475248,0.0483987126,0.6264410897,0.6366468022,0.5903518153,0.6150564803,0.6096056309,7.00E-05
0.6480686695,0.6409395973,0.7079872204,0.4564623194,0.2965094637,0.2850745204,0.3593341798,0.8802246642,0.9097077386,0.9186297302,0.9172560856,0.9097067922,0.8988701877,0.8912446121,0.00396039604,0.0483987126,0.04063314644,0.6112385027,0.5748347573,0.6052039885,0.6043861921,9.00E-05
0.6384120172,0.6535234899,0.7130990415,0.4546773024,0.312961242,0.2794056381,0.3422672997,0.5474593501,0.8068912776,0.8580884934,0.8669057842,0.8598622551,0.8456558032,0.8353617465,0.02178217822,0.02382987878,0.04596283735,0.5863758891,0.5609634009,0.5955524703,0.5999489276,-2.00E-05
0.6266094421,0.6510067114,0.7258785942,0.471178793,0.3321655468,0.3043366484,0.3665305022,0.5474593501,0.8068912776,0.8580884934,0.8669057842,0.8598622551,0.8456558032,0.8353617465,2.39E-09,0.02172158943,0.0562122408,0.5667204984,0.548671671,0.5890901794,0.5969426136,-2.00E-05
0.6330472103,0.6526845638,0.7271565495,0.4732092499,0.3449589096,0.3026912929,0.3793778673,0.750586889,0.8247940443,0.8635327255,0.8702449143,0.8627219677,0.8485007344,0.8382470331,0.01188118812,0.02527540332,0.05290626253,0.5467598101,0.5363151869,0.5800187718,0.5922068909,4.00E-05
0.6469957082,0.6694630872,0.7252396166,0.6333897349,0.3567288034,0.3077160692,0.3803956462,0.8781770389,0.8468764231,0.8701735346,0.8741733733,0.8660147226,0.8517395994,0.8415129492,0.01386138614,0.03537297584,0.05240146188,0.06707763779,0.5246892268,0.571405632,0.5868532558,0.00011
