ma_2,ma_4,ma_8,ma_16,ma_32,ma_64,ma_128,rsi_2,rsi_4,rsi_8,rsi_16,rsi_32,rsi_64,rsi_128,std_2,std_4,std_8,std_16,std_32,std_64,std_128
0.0,0.15520134228187515,0.3118210862619675,0.3119007332205319,0.2471437161755743,0.18680738786280315,0.290533736153062,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0,0.8582697898872748,0.873892014851332,0.7766967364068822,0.6695772627981903,0.6269689769717443,0.6301731445109233
0.3186695278969873,0.31571588366888714,0.39821086261979954,0.3532618913329628,0.25775529694739063,0.19349164467897317,0.2950267255403176,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.5881188118811458,0.6949506826392932,0.7897052629627945,0.7324662298855581,0.6470026061822504,0.6154570756714967,0.6239221742964012
0.6319742489270105,0.3833892617449539,0.4575079872204524,0.3926677946982413,0.271463887218542,0.2196492317243557,0.31207848881564715,0.9670603892664085,0.9765967685873296,0.9780553190291108,0.9771202332707853,0.9747029101661295,0.9714773856115625,0.9692236612069083,0.00990099009903032,0.5908816942653823,0.7261838298626407,0.6971157628423454,0.6267588417594049,0.607064104765904,0.6188820311866501
0.6105150214592017,0.6359060402684465,0.49183021451391573,0.43065169461108166,0.2746146786087138,0.3002789295137518,0.3343929897341056,0.8071192821081231,0.8924301522861067,0.908723855613657,0.9090396750385328,0.9015701542825538,0.8901790648008857,0.8821146723202027,0.029702970297003056,0.04291130019816335,0.6708673588200474,0.6685289125489128,0.6076608043482477,0.6231991271593619,0.6148291187827435
0.6201716738197324,0.6409395973154409,0.5175718849840274,0.43748824967098043,0.28322309079975394,0.2760480797420044,0.3475208814643693,0.8733681154448758,0.908233814274491,0.9178545165781673,0.9166414121986903,0.9091116854926145,0.898241656383071,0.8905880544824691,0.04752475247524899,0.04839871259873504,0.6264410896731067,0.6366468021974977,0.5903518153420303,0.6150564803439849,0.6096056308812936
0.6480686695279029,0.6409395973154409,0.7079872204472857,0.4564623194064752,0.2965094636772285,0.28507452043072057,0.3593341798385836,0.8802246641856359,0.9097077386428998,0.9186297301856692,0.9172560855516756,0.9097067922051976,0.8988701876729804,0.8912446120685495,0.003960396039630615,0.04839871259873504,0.04063314644105701,0.6112385027158482,0.5748347573382921,0.6052039884975968,0.6043861921486393
0.6384120171673723,0.6535234899328988,0.7130990415335385,0.45467730239303084,0.31296124200512665,0.27940563810581054,0.3422672996691105,0.5474593500557063,0.8068912775757343,0.8580884934284314,0.8669057841725347,0.8598622550766744,0.8456558032387845,0.8353617464910148,0.021782178217875762,0.023829878781051972,0.04596283734717652,0.5863758890754464,0.560963400884445,0.5955524702884437,0.5999489275976291
0.6266094420600703,0.651006711409411,0.7258785942492063,0.471178793006207,0.3321655468116713,0.30433664839996233,0.36653050224812844,0.5474593500563889,0.8068912775757892,0.8580884934284498,0.8669057841725465,0.8598622550766848,0.8456558032387952,0.8353617464910257,2.38690241052923e-09,0.02172158943434257,0.05621224079865425,0.5667204984495428,0.5486716709977596,0.5890901793918218,0.5969426136159592
0.633047210300432,0.6526845637583779,0.7271565495207661,0.47320924985899016,0.3449589096011172,0.30269129287600016,0.3793778672932824,0.7505868890137379,0.8247940443266389,0.8635327255364722,0.8702449142691611,0.8627219676600122,0.8485007344408665,0.8382470330912564,0.011881188118801542,0.02527540332134944,0.05290626252924734,0.5467598100741349,0.5363151868688812,0.5800187718305169,0.5922068908615481
0.6469957081544815,0.6694630872483279,0.7252396166134194,0.6333897349125683,0.35672880336740853,0.3077160692451226,0.38039564623598565,0.8781770388528753,0.8468764230803726,0.8701735345741306,0.8741733732724828,0.8660147226416988,0.8517395994436473,0.8415129492425601,0.013861386138572514,0.035372975841879754,0.052401461879099,0.0670776377861868,0.524689226772834,0.5714056319735286,0.5868532557985251
